NaN,NaN,NaN,10.98,NaN,NaN
NaN,NaN,NaN,10.68,NaN,NaN
NaN,NaN,NaN,10.77,NaN,NaN
NaN,NaN,NaN,8.93,NaN,NaN
NaN,6.059,3.166,NaN,NaN,NaN
NaN,NaN,NaN,9,NaN,NaN
NaN,NaN,NaN,6.8,NaN,NaN
NaN,NaN,3.939,NaN,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,7.51,2.067,NaN,NaN,NaN
NaN,3.4,0.2,NaN,NaN,NaN
NaN,2.5,0.3,NaN,NaN,NaN
NaN,NaN,NaN,11,10.7,NaN
NaN,NaN,NaN,10.63,NaN,NaN
NaN,NaN,1,NaN,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,NaN,4.373,NaN,NaN
NaN,NaN,4.893,NaN,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,NaN,9.498,NaN,NaN
NaN,NaN,NaN,10.63,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,9.96,6.838,NaN
NaN,NaN,3.325,NaN,NaN,NaN
NaN,NaN,2.959,NaN,NaN,NaN
NaN,5.833,2.988,NaN,NaN,NaN
NaN,NaN,NaN,10.8,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,7.43,2.145,NaN,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,2.584,NaN,NaN,NaN
NaN,NaN,3.752,NaN,NaN,NaN
NaN,NaN,12.03,NaN,NaN,NaN
NaN,4.384,3.019,NaN,NaN,NaN
NaN,NaN,4.02,NaN,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,4.469,NaN,NaN,NaN
NaN,NaN,3.662,NaN,NaN,NaN
NaN,NaN,12.28,NaN,NaN,NaN
NaN,NaN,3.677,NaN,NaN,NaN
NaN,5.077,3.767,NaN,NaN,NaN
NaN,9.96,4.324,2.16,NaN,NaN
NaN,NaN,9.224,2.15,NaN,NaN
NaN,5.272,4.343,NaN,NaN,NaN
NaN,NaN,3.737,NaN,NaN,NaN
NaN,NaN,9.78,2.32,NaN,NaN
NaN,NaN,3.886,NaN,NaN,NaN
NaN,NaN,3.337,NaN,NaN,NaN
9.5,6.512,2.845,NaN,NaN,NaN
NaN,NaN,7.5,NaN,NaN,NaN
NaN,NaN,NaN,11,9.9,NaN
NaN,NaN,NaN,10.66,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,10.93,9.84,NaN
NaN,NaN,NaN,10.64,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,7.271,2.7,NaN,NaN,NaN
NaN,NaN,9.33,6.04,2,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,9.4,NaN,NaN,NaN
NaN,NaN,3.173,NaN,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,0,NaN,NaN,NaN
NaN,NaN,6.96,NaN,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,9.67,8.62,2.13,NaN
NaN,NaN,9.816,1.89,NaN,NaN
NaN,NaN,4.863,NaN,NaN,NaN
NaN,NaN,1.1,NaN,NaN,NaN
NaN,NaN,NaN,7.15,NaN,NaN
9.5,6.545,2.575,NaN,NaN,NaN
NaN,NaN,0.77,NaN,NaN,NaN
NaN,NaN,3.174,NaN,NaN,NaN
NaN,NaN,NaN,9.3,8.3,NaN
NaN,NaN,NaN,10.6,NaN,NaN
NaN,NaN,NaN,10.43,NaN,NaN
NaN,NaN,4.86,NaN,NaN,NaN
NaN,NaN,4.845,NaN,NaN,NaN
6.38,4.72,3.25,NaN,NaN,NaN
NaN,NaN,9.765,2.3,NaN,NaN
NaN,4.6,3.72,NaN,NaN,NaN
NaN,NaN,NaN,10.72,NaN,NaN
NaN,5.879,2.943,NaN,NaN,NaN
NaN,NaN,4.78,NaN,NaN,NaN
NaN,5.449,3.815,NaN,NaN,NaN
NaN,NaN,3.86,NaN,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,1,NaN,NaN,NaN
NaN,NaN,NaN,9.9,7.8,NaN
NaN,NaN,9.728,2.31,NaN,NaN
NaN,NaN,NaN,9.2,NaN,NaN
NaN,NaN,4.602,NaN,NaN,NaN
NaN,NaN,NaN,7.85,NaN,NaN
NaN,NaN,NaN,13.8,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,10.79,9.127,1.7,NaN
NaN,NaN,3.812,NaN,NaN,NaN
